id|version|current_holdings|previous_holdings|market_value|previous_market_value|pct_held|pct_portfolio|market_capitalization|q0_holding|q0_quarter|q0_source|q1_holding|q1_quarter|q1_source|q2_holding|q2_quarter|q2_source|q3_holding|q3_quarter|q3_source|q4_holding|q4_quarter|q4_source|q5_holding|q5_quarter|q5_source|q6_holding|q6_quarter|q6_source|q7_holding|q7_quarter|q7_source|q8_holding|q8_quarter|q8_source|p0_price|p1_price|p4_price|metro_area|firm_name|company_name|ticker|q0_market_value|qoq_net_change_flow|yoy_net_change_flow|qoq_inflow|qoq_outflow|yoy_inflow|yoy_outflow|qoq_new_positions|qoq_soldout_positions|qoq_increased_positions|qoq_decreased_positions|qoq_net_position_change|yoy_new_positions|yoy_soldout_positions|yoy_increased_positions|yoy_decreased_positions|yoy_net_position_change|new_positions|soldout_positions|increased_positions|decreased_positions|net_position_change|factset_security_id|factset_entity_id
554|1434811805|||||||681239550.0||||87397|2014-12-31T00:00:00+00:00|13f|111817|2014-09-30T00:00:00+01:00|13f|131299|2014-06-30T00:00:00+01:00|13f|125112|2014-03-31T00:00:00+01:00|13f|119206|2013-12-31T00:00:00+00:00|13f|147817|2013-09-30T00:00:00+01:00|13f|115423|2013-06-30T00:00:00+01:00|13f|148294|2013-03-31T00:00:00+00:00|13f||14.46|12.45|New York City/NY Metro|Credit Suisse Securities (USA) LLC (Broker)||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|000FF4-E
555|1434811805|||||||681239550.0||||||||||||||||||||||68500|2013-06-30T00:00:00+01:00|13f|||||||Toronto/Ontario Metro|Gluskin Sheff + Associates, Inc. (Investment Management)||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|05H55R-E
556|1434811805|||||||681239550.0|12219|2015-03-31T00:00:00+01:00|funds|12219|2014-12-31T00:00:00+00:00|funds|12219|2014-09-30T00:00:00+01:00|funds|12219|2014-06-30T00:00:00+01:00|funds|12219|2014-03-31T00:00:00+01:00|funds|6619|2013-12-31T00:00:00+00:00|funds|6619|2013-09-30T00:00:00+01:00|funds|6619|2013-06-30T00:00:00+01:00|funds|6619|2013-03-31T00:00:00+00:00|funds||14.46|12.45|Baltimore/Wash DC Metro|T. Rowe Price Associates, Inc.||||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0||XQBP9V-S-US|000TNX-E
557|1434811805|||||||681239550.0|||||||||||||4200|2014-03-31T00:00:00+01:00|13f|||||||||||||||12.45|Toronto/Ontario Metro|Canada Pension Plan Investment Board||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|05HPFF-E
558|1434811805|||||||681239550.0|7588|2015-03-31T00:00:00+01:00|funds|7588|2014-12-31T00:00:00+00:00|funds|7588|2014-09-30T00:00:00+01:00|funds|15852|2014-06-30T00:00:00+01:00|funds|15852|2014-03-31T00:00:00+01:00|funds|25622|2013-12-31T00:00:00+00:00|funds|25331|2013-09-30T00:00:00+01:00|funds|6819|2013-06-30T00:00:00+01:00|funds|6547|2013-03-31T00:00:00+00:00|funds||14.46|12.45|Wilmington/DE Metro|BlackRock Advisors LLC||||||||||0|0|0|0|0|0|0|0|-8264|-8264|0|0|0|0||XQBP9V-S-US|002HJB-E
559|1434811805|||||||681239550.0||||3820|2014-12-31T00:00:00+00:00|funds|3820|2014-09-30T00:00:00+01:00|funds|3820|2014-06-30T00:00:00+01:00|funds|||||||||||||||||14.46||Pittsburgh/PA Metro|Symons Capital Management, Inc.||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|002HS6-E
560|1434811805|||||||681239550.0|10993|2015-03-31T00:00:00+01:00|funds|16826|2014-12-31T00:00:00+00:00|funds|17283|2014-09-30T00:00:00+01:00|funds|17283|2014-06-30T00:00:00+01:00|funds|21830|2014-03-31T00:00:00+01:00|funds|21732|2013-12-31T00:00:00+00:00|funds|20873|2013-09-30T00:00:00+01:00|funds|20655|2013-06-30T00:00:00+01:00|funds|22070|2013-03-31T00:00:00+00:00|funds||14.46|12.45|Boston/MA Metro|Manulife Asset Management (US) LLC||||||||||0|0|0|-5833|-5833|0|0|0|-10837|-10837|0|0|0|0||XQBP9V-S-US|002GB5-E
561|1434811805|||||||681239550.0||||||||||1|2014-06-30T00:00:00+01:00|13f|1|2014-03-31T00:00:00+01:00|13f|1|2013-12-31T00:00:00+00:00|13f||||||||||||12.45|New York City/NY Metro|Tocqueville Asset Management LP||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|002G53-E
562|1434811805|||||||681239550.0||||||||||11382|2014-06-30T00:00:00+01:00|13f|25401|2014-03-31T00:00:00+01:00|13f|24925|2013-12-31T00:00:00+00:00|13f|13926|2013-09-30T00:00:00+01:00|13f|||||||||12.45|New York City/NY Metro|General Motors Investment Management Corp.||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|001HP4-E
563|1434811805|||||||681239550.0||||274002|2014-12-31T00:00:00+00:00|13f|146400|2014-09-30T00:00:00+01:00|13f||||||||||||||||||||14.46||Toronto/Ontario Metro|OMERS Administration Corp.||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|001XJ8-E
564|1434811805|||||||681239550.0|66884|2015-03-31T00:00:00+01:00|funds|66884|2014-12-31T00:00:00+00:00|funds|66871|2014-09-30T00:00:00+01:00|funds|63561|2014-06-30T00:00:00+01:00|funds|64487|2014-03-31T00:00:00+01:00|funds|63145|2013-12-31T00:00:00+00:00|funds|62434|2013-09-30T00:00:00+01:00|funds|63564|2013-06-30T00:00:00+01:00|funds|63440|2013-03-31T00:00:00+00:00|funds||14.46|12.45|Chicago/IL Metro|Northern Trust Investments, Inc.||||||||||0|0|0|0|0|0|0|2397|0|2397|0|0|0|0||XQBP9V-S-US|05J871-E
565|1434811805|||||||681239550.0||||8200|2014-12-31T00:00:00+00:00|funds|8200|2014-09-30T00:00:00+01:00|funds|8200|2014-06-30T00:00:00+01:00|funds|8200|2014-03-31T00:00:00+01:00|funds|8200|2013-12-31T00:00:00+00:00|funds|8200|2013-09-30T00:00:00+01:00|funds|17097|2013-06-30T00:00:00+01:00|13f|48100|2013-03-31T00:00:00+00:00|13f||14.46|12.45|Zurich/Switzerland Metro|UBS AG (Investment Management)||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|05FWL8-E
566|1434811805|||||||681239550.0||||540582|2014-12-31T00:00:00+00:00|13f|540582|2014-09-30T00:00:00+01:00|13f|540582|2014-06-30T00:00:00+01:00|13f|546011|2014-03-31T00:00:00+01:00|13f|577412|2013-12-31T00:00:00+00:00|13f|822061|2013-09-30T00:00:00+01:00|13f|396598|2013-06-30T00:00:00+01:00|13f|313891|2013-03-31T00:00:00+00:00|13f||14.46|12.45|New York City/NY Metro|D. E. Shaw & Co. LP||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|002JKF-E
567|1434811805|||||||681239550.0|||||||64940|2014-09-30T00:00:00+01:00|13f|118391|2014-06-30T00:00:00+01:00|13f|54855|2014-03-31T00:00:00+01:00|13f|54444|2013-12-31T00:00:00+00:00|13f|9225|2013-09-30T00:00:00+01:00|13f|1500|2013-06-30T00:00:00+01:00|13f|1500|2013-03-31T00:00:00+00:00|13f|||12.45|Boston/MA Metro|PanAgora Asset Management, Inc.||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|002H43-E
568|1434811805|||||||681239550.0|400700|2015-03-31T00:00:00+01:00|funds|400700|2014-12-31T00:00:00+00:00|funds|||||||||||||||||||||||14.46||New York City/NY Metro|GAMCO Asset Management, Inc.||||||||||0|0|0|0|0|0|0|0|0||0|0|0|0||XQBP9V-S-US|000KVL-E
569|1434811805|||||||681239550.0||||||||||18279|2014-06-30T00:00:00+01:00|13f|18389|2014-03-31T00:00:00+01:00|13f|18389|2013-12-31T00:00:00+00:00|13f|18389|2013-09-30T00:00:00+01:00|13f|||||||||12.45|Sydney/Australia Metro|AMP Capital Investors Ltd.||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|05HP6D-E
